epoch;correct;error
0;10;339.3341933388168
1;10;276.2701213219401
2;10;257.02933307914316
3;6;235.97718160990885
4;13;211.67866088330322
5;17;194.73542837599726
6;14;181.9055367659421
7;13;172.568131792822
8;10;161.29109397191968
9;11;147.15429515335677
10;14;141.6280420680733
11;20;128.38569286815428
12;14;124.5319262692901
13;11;124.60334080097297
14;15;117.88845401582742
15;10;114.77959423101521
16;4;116.83311570900088
17;9;111.82727935761577
18;7;109.89858597615739
19;8;107.7835290818679
20;8;107.35747013172828
21;7;106.75147776363698
22;10;103.64408107958242
23;9;100.90501714922928
24;11;100.80026186779966
25;9;99.10707297124652
26;12;98.23394350968142
27;9;97.26953800416142
28;10;96.60579267411129
29;7;99.18208747772579
30;11;96.88180153802892
31;15;95.9371174605881
32;9;96.26025681032998
33;7;95.80809251506503
34;13;94.68237775030245
35;16;94.41601886443051
36;9;93.92850675253248
37;20;92.11255821331923
38;16;93.0862570800813
39;8;94.36347962701883
40;14;95.11436308625787
41;14;93.92951156909075
42;19;92.27910051474207
43;6;93.89704393308838
44;15;91.80029293732991
45;14;92.41872697549829
46;7;93.12547294357189
47;7;93.58058040499238
48;11;93.20104870122397
49;10;92.08568313423788
50;11;93.70167494041122
51;15;91.40295590062131
52;12;91.54530008434473
53;11;91.23890983141092
54;8;92.50259606725697
55;12;91.58298348791216
56;17;91.6660467848507
57;9;92.21881024812996
58;10;90.84854188691168
59;15;90.78090269803819
60;7;92.08630866741655
61;9;91.92038135266898
62;6;92.29248147753255
63;13;90.49103480522784
64;7;92.33265401627503
65;11;90.81024996356864
66;8;91.383893635052
67;8;91.54618184815745
68;13;90.73179277356392
69;4;91.84569005390924
70;10;90.63782607660656
71;10;89.91488587744308
72;10;90.82501237707258
73;7;91.4220117089246
74;11;91.74282861701086
75;3;91.18818232633485
76;13;90.93912478434878
77;9;91.60523701345465
78;11;90.60224525171944
79;12;90.3963063745114
80;15;89.52915904347648
81;14;89.62916309461067
82;9;90.21383339129316
83;10;90.58480434355343
84;19;90.14923050556771
85;24;89.67424185784957
86;18;90.27505184386625
87;14;90.01705269905123
88;18;89.75148264676208
89;17;91.15372986418224
90;16;90.5637354757527
91;23;89.10131152818728
92;18;89.53332555846957
93;24;90.33298925869356
94;19;89.72586904555804
95;20;89.82976606038395
96;21;88.87599856744725
97;21;89.861288134012
98;12;90.30877625529708
99;21;89.36281705939047
100;19;90.21203217884151
101;24;89.0312625207352
102;30;88.77511591258333
103;27;87.9906833706201
104;17;89.78053613142683
105;25;87.85793008410802
106;19;89.12722289360606
107;17;89.07627680908072
108;18;89.52816139791645
109;21;89.5016511403586
110;16;89.25452258029698
111;21;89.03192995180477
112;20;89.65630345970764
113;21;89.23472559671525
114;22;87.8340845148565
115;24;88.63471341731905
116;18;89.67751671881275
117;23;87.46321255439743
118;20;88.82843601869833
119;16;88.25455417153111
120;15;89.46264700524317
121;26;88.27622649707973
122;27;87.1949429773966
123;16;88.92927918706744
124;13;89.18653498440902
125;26;88.40817342361974
126;28;87.85629184649117
127;24;87.6302822954707
128;17;87.39241754425818
129;22;87.82466263318877
130;22;87.63776946806432
131;24;88.1680381279071
132;22;87.27242359505178
133;28;87.04272958186209
134;19;86.8569812686413
135;35;86.45743627127727
136;26;86.76832957470913
137;35;85.43525536062478
138;25;87.00598411059708
139;15;88.65800390137069
140;18;87.14175456202457
141;23;87.19545549818115
142;17;87.46304473423955
143;19;87.74727448326435
144;25;86.28749015838352
145;20;87.75464602110382
146;23;86.5689125619389
147;24;86.18061506130184
148;23;87.17367348280887
149;21;85.9002906005455
150;24;86.81262068055666
151;22;86.34125639058927
152;21;87.49692894492561
153;15;88.2509582811004
154;22;86.88110773284643
155;25;86.56281434338823
156;26;85.14485488225536
157;21;86.49813218341806
158;29;86.08020142596936
159;24;86.34586861529459
160;24;86.16758045058631
161;25;87.41672183940892
162;19;85.78317143037428
163;23;86.62981664601571
164;21;86.83971486183484
165;22;87.22444832397758
166;31;84.56522162314445
167;21;85.60762461870166
168;27;85.36926484650994
169;21;86.5945030424318
170;19;86.78835468639895
171;23;86.76973334693832
172;27;85.41699999023835
173;35;84.14288557858998
174;19;86.23621782520371
175;23;86.15203167586033
176;26;84.20422624164327
177;25;85.4777007806931
178;27;84.20127118058045
179;33;83.30475228857901
180;24;86.7777556396085
181;30;83.3791553475805
182;25;85.5282189479564
183;25;85.05478835948821
184;31;84.23396857678121
185;29;84.17365392446965
186;21;86.54864988226961
187;32;83.3203189586815
188;29;85.18347812226209
189;31;84.40843129262505
190;31;84.95382188881366
191;34;81.62292463308778
192;27;83.11516891853162
193;17;84.53121177048844
194;24;84.80405282747304
195;28;83.56413710515314
196;29;83.79478299177725
197;25;84.35336848658015
198;35;82.72079646178918
199;27;82.76214776120388
200;21;84.04863365675673
201;33;83.05770852671306
202;27;83.31419218547558
203;26;84.86128238155916
204;28;84.2685340990732
205;34;81.79767813072203
206;30;82.5479696550393
207;29;82.9102653893359
208;28;81.66109451545633
209;30;82.96589503265169
210;28;82.81946658918255
211;26;82.61422861554678
212;19;85.47907168958636
213;30;80.06783235684212
214;36;83.36329773402824
215;31;83.90704379345469
216;37;82.20956811704667
217;29;84.53834833890292
218;39;81.0824671114088
219;29;82.91822369800155
220;33;81.30995331837522
221;42;80.71049771423927
222;36;82.09159342534828
223;42;80.98376505863412
224;42;81.18802649927933
225;43;79.97305659276995
226;47;77.72432709193914
227;35;80.82497629130242
228;34;82.51392456845332
229;38;79.33741479827553
230;37;80.98769144458252
231;33;80.26052269158193
232;35;79.63797650481008
233;32;79.8817795090035
234;39;79.21943527808327
235;40;80.87515651646852
236;35;80.87879327183511
237;41;79.3824623621853
238;35;78.89696641269141
239;37;78.94065078999716
240;43;77.39402770859942
241;38;81.19787156419547
242;32;80.53381064870355
243;34;80.29416797908175
244;30;80.00872160216008
245;40;79.28884001345311
246;44;78.76120031712139
247;36;78.66685188458028
248;30;80.07492082172226
249;35;80.40871593144114
250;32;80.5267834765786
251;34;80.47800995970003
252;44;74.99097545464076
253;42;79.89952165010737
254;28;78.58195950476679
255;39;77.44636950303799
256;41;78.57935225008585
257;45;77.532183833346
258;38;77.04418563245432
259;34;80.64543693452364
260;33;79.71748956358476
261;35;78.37157381160064
262;41;79.44750389936361
263;55;77.07856782908111
264;37;80.58055611856739
265;40;77.3500902165122
266;42;77.94457857313282
267;44;76.39348038908514
268;43;77.91762739478992
269;48;76.45090137652322
270;54;75.56833277473092
271;30;82.15956027846077
272;50;77.6920343448282
273;35;81.82206084601651
274;41;77.12836366669683
275;43;78.0305254909732
276;38;79.86075986610561
277;44;76.39983588942158
278;52;75.48719029323702
279;41;76.64572089691765
280;49;76.1732042788153
281;43;77.18186004090421
282;50;75.36987137706845
283;38;77.55446001653434
284;33;79.03151623161023
285;41;80.14976882277824
286;50;77.38019913125251
287;53;76.56404598782726
288;51;76.42312345717261
289;44;77.52604724266884
290;46;77.34427241837795
291;49;76.5885025981945
292;49;75.31957345217738
293;59;73.0006736210697
294;54;72.52699467918424
295;51;74.39302747368524
296;48;77.10730154641928
297;48;76.67716240320638
298;51;75.43906331762257
299;42;77.24687386587955
300;41;78.83641980904747
301;44;75.22225886329355
302;45;75.69786955445619
303;56;74.69975132304677
304;52;74.89284016007932
305;48;75.7146619078368
306;44;77.69130531176936
307;54;74.32988433631367
308;48;76.38996332191552
309;53;74.22810381383717
310;50;76.49469232774267
311;53;75.02589492878782
312;59;71.46185096319137
313;48;73.45495466885984
314;48;75.62659696833974
315;60;73.95990498149273
316;44;77.71046661058698
317;49;75.89051567014083
318;53;75.87081802337353
319;56;71.93825532759662
320;43;76.25401349756217
321;49;75.07443550024296
322;47;74.03979144319958
323;55;73.8783889062025
324;46;73.34332220568716
325;54;74.36285024848473
326;47;75.55481005940361
327;45;76.65810138317781
328;55;73.94715852169017
329;58;73.46238292783983
330;59;72.86960027905316
331;59;72.95029463468782
332;63;74.31940317487677
333;64;71.08983158185134
334;49;74.23088983722926
335;52;72.88472302193215
336;49;75.08546438020193
337;57;72.79862582554465
338;48;76.11512449680974
339;58;74.89066101642862
340;61;72.33284101431904
341;56;73.45942371037373
342;54;72.14064794547085
343;58;72.07398844023447
344;55;73.986437598621
345;58;70.08933741991838
346;56;71.12834649121174
347;60;72.37712473079313
348;61;70.81335495614184
349;54;73.56609031907627
350;57;74.57572655661879
351;57;72.8502654526805
352;52;74.10554022653758
353;53;73.45414248324656
354;48;73.48223465520405
355;46;71.78442604458563
356;53;71.31858188004206
357;37;76.14021912713747
358;63;69.50946414440048
359;49;73.07632193242861
360;52;72.3188642558985
361;49;71.08882490720958
362;52;72.96417187959196
363;61;69.474814140444
364;56;71.72224845739255
365;57;71.3449548329289
366;58;71.11357693271016
367;51;74.01667522696232
368;58;74.03254924787173
369;55;73.36890995010648
370;47;73.77488546232698
371;49;72.93596302298961
372;50;71.85857329191373
373;58;71.0369276755097
374;51;73.08142782905156
375;47;75.11251277879843
376;50;71.98147149405528
377;48;72.96074908980833
378;59;70.38308284015697
379;52;71.49298764460755
380;48;75.18201296532064
381;49;72.06750094996526
382;58;69.226631432736
383;38;74.30989526673542
384;63;68.92634986069791
385;61;71.53823973673231
386;52;73.56941309678064
387;54;74.83871000026411
388;57;72.83881283460391
389;61;70.03724553795058
390;51;75.85176464714947
391;58;70.3644246154587
392;47;73.8906500181725
393;64;69.97366254005642
394;59;69.50132340039929
395;61;69.73310881098921
396;61;70.74058513659557
397;62;70.36738157977187
398;53;68.34651010788326
399;58;72.99349487906935
400;52;71.71869163512557
401;53;72.6415646469058
402;59;73.1182918748106
403;66;68.35445764399613
404;60;74.58100464990699
405;60;74.76142829801873
406;56;73.4939840948449
407;62;71.43443868907626
408;65;70.13134529496759
409;60;70.31238803163386
410;69;67.45131356608375
411;63;69.84020351967163
412;57;71.35320486765164
413;49;73.58303508112498
414;63;69.37977427166322
415;57;72.5682143296559
416;54;73.79009137502015
417;55;71.98503781147303
418;56;72.23035840789277
419;68;69.59649607939065
420;64;67.51462290188647
421;61;68.8828101501571
422;63;66.84756070339948
423;54;71.48296880845771
424;57;71.27311872567101
425;67;67.5947122231135
426;69;68.40102584360633
427;69;64.88670493635787
428;56;70.03327339064388
429;67;66.21962177984457
430;67;65.20653020862946
431;63;66.99226973212669
432;46;74.92562443565704
433;60;69.96040125740663
434;63;68.97925136254558
435;69;66.15443825787884
436;60;67.86547956231536
437;55;71.3582002450433
438;72;67.55918025278004
439;62;69.73342293041344
440;58;71.3745803434383
441;65;67.90133333257187
442;68;67.99416051087964
443;72;65.75853066633448
444;65;66.80848231505911
445;58;69.41033165233485
446;53;71.59066661808062
447;62;69.14096053156757
448;65;68.27936516897641
449;69;66.37531705822784
450;60;67.68892617710092
451;58;69.66227588169346
452;61;69.53010215470998
453;62;66.66947000842777
454;60;68.97728557728962
455;57;71.0791074523431
456;64;69.12195273859658
457;67;68.97965851586544
458;68;66.0183550306589
459;67;66.7328816049114
460;70;63.59473137459959
461;68;68.51461749157941
462;66;66.59515282401225
463;61;70.50008816057648
464;62;68.09769092669117
465;70;66.94926508427542
466;61;69.28526597885363
467;70;66.99912561854033
468;76;63.836826551546466
469;68;66.92792941269762
470;73;66.72120201384082
471;70;66.77987389178546
472;64;69.71720766529619
473;60;71.88913991966452
474;78;63.703642459240776
475;68;66.26912397716781
476;69;67.75363627234617
477;66;65.33336546622277
478;68;67.19562122688515
479;62;70.68878224603542
480;73;66.2487070863005
481;60;70.58378182281074
482;65;66.26020654245866
483;63;70.99644837243298
484;56;72.8463578395225
485;64;65.78985796500179
486;69;62.473225485274284
487;67;65.54594724519731
488;55;72.61933158948206
489;75;62.984003603577875
490;63;64.42365858368235
491;70;67.1712869478592
492;66;67.13996851408909
493;70;64.49519156503206
494;67;67.83807059755762
495;68;67.27457324418847
496;70;66.10031946758876
497;68;66.36711367269868
498;68;64.5526823523024
499;62;68.07942227362409
500;66;68.23521112961127
501;69;63.626351719166706
502;67;65.45012100798286
503;66;66.0379743366607
504;70;66.00629536622156
505;73;62.45488274086345
506;66;63.15590693553045
507;69;63.643797731930874
508;66;66.46076556881782
509;68;67.98198997625009
510;59;66.14383145731455
511;71;63.77360327290692
512;76;62.27438274603266
513;75;60.384871927329314
514;78;60.02868624697408
515;73;60.17013133090049
516;69;63.67616922109876
517;61;67.16004741934758
518;67;65.65262789832379
519;69;62.442023713311364
520;67;65.9874257868303
521;65;64.62975054590932
522;66;67.32681103547912
523;60;67.31195259777672
524;65;68.17344919766603
525;77;60.13405183624051
526;72;62.438511061553264
527;65;67.45417757554301
528;62;68.03933111292645
529;67;64.45802679493671
530;66;65.37212319405819
531;72;60.799254364502524
532;64;68.21725563519878
533;68;63.04559723792659
534;68;66.39398381682435
535;71;62.13698441471865
536;57;69.27734614197435
537;72;62.15925910714673
538;69;63.59421838352155
539;67;64.35880552571585
540;64;66.46602461993633
541;66;65.24625541866187
542;79;59.0371986120176
543;61;66.87015503375721
544;56;68.50442552559481
545;70;63.373135386002915
546;68;66.77659919622509
547;73;62.54893619262158
548;78;59.31459313410981
549;66;63.893273850247716
550;76;61.99689371595656
551;66;64.34234841800128
552;69;63.33307689731003
553;70;61.95391997760612
554;70;63.57603799164703
555;69;61.990720236777
556;63;65.34241933397318
557;67;62.614053520678475
558;62;67.48134831959483
559;62;66.87470942371374
560;67;62.819296890468344
561;69;63.41091403455734
562;68;65.47199421594242
563;69;60.470430814599275
564;72;62.7971635778719
565;68;62.87820434520601
566;68;64.16155139789687
567;66;64.00056006850768
568;65;63.66166009346174
569;65;65.12731082706505
570;64;65.18192446787208
571;65;64.84743519370355
572;75;58.200297744165375
573;71;58.14438041587699
574;62;67.59956966033275
575;64;64.87968413124867
576;60;62.303675771548306
577;62;64.07599215492482
578;58;65.05817447618607
579;70;61.0370565582085
580;61;65.20232545744699
581;70;64.52296834923712
582;70;61.525272705024406
583;72;61.1116376135447
584;64;65.55943942450695
585;65;64.78950794542754
586;68;64.47703017544076
587;66;62.52859073404517
588;65;64.89448409606277
589;70;63.31125197287902
590;69;62.081943450164225
591;70;61.76588419103465
592;72;62.23600096701392
593;62;66.62741002738913
594;58;63.329381513480506
595;69;63.89349376147288
596;69;61.66807502327179
597;72;62.22216072305589
598;58;67.3250410454327
599;63;61.565253221203136
600;65;63.01034600715739
601;77;57.85581573623348
602;69;61.07087892141842
603;63;63.8778531524442
604;69;59.327858690437516
605;78;58.237420214431076
606;59;66.96726382823387
607;72;59.63294324671808
608;68;64.49172782338941
609;68;62.42026256603601
610;67;62.840854757298075
611;65;61.367659221152316
612;63;61.24841544723473
613;64;62.46651098827108
614;72;59.40272075351439
615;68;59.16989321523205
616;63;64.37420857926709
617;70;60.50588789284021
618;67;62.42900902292121
619;68;64.77951735973888
620;61;62.36228044682599
621;74;57.70015219013121
622;60;67.26704013468743
623;69;61.76230673498865
624;67;62.86299027127014
625;69;61.34529230337606
626;68;60.72494006753981
627;75;55.132039481699266
628;67;62.48926650776592
629;74;56.454829046872064
630;69;61.04497882296081
631;72;60.39482158599331
632;66;62.59055407850392
633;74;60.08532385937114
634;58;63.97819943133937
635;68;60.25808723414224
636;66;65.17448137009511
637;61;63.5494546124503
638;61;66.56683803793231
639;68;60.934353487266044
640;63;63.09870194431415
641;68;58.95988071620186
642;68;62.76363604694945
643;70;59.765919765523606
644;68;62.04647826523957
645;69;58.702890671334366
646;67;62.745716217182704
647;66;61.65811451098745
648;65;62.579622419965766
649;68;62.57919289225125
650;65;59.62200579706015
651;73;59.829640973011124
652;61;61.76056120627982
653;64;60.87552428282713
654;69;59.91661013414659
655;72;58.887739750014404
656;63;62.70064840480537
657;60;65.06491943182635
658;61;61.733586265801904
659;73;58.57850123370549
660;77;54.77122976350325
661;70;60.20583327355005
662;64;62.76235035558709
663;65;62.60812236680604
664;68;60.400175576285676
665;65;59.96810103918816
666;67;58.47628556105512
667;65;60.562871848512145
668;68;56.86929133289509
669;69;58.51211067488076
670;73;57.51130018475064
671;59;63.980317377882216
672;64;60.888039674247544
673;67;58.50719227609086
674;64;59.169508973803474
675;62;64.48985837401916
676;66;59.890434981556965
677;65;61.43607294604045
678;61;62.82909402363756
679;66;62.28906411217905
680;64;60.2755536799871
681;66;62.030809500520725
682;71;58.54651317536661
683;64;61.658042566190765
684;72;58.1403847338881
685;59;60.70091122187287
686;63;61.50049327953858
687;64;62.85362196185074
688;61;60.63807896263916
689;68;61.75458666409233
690;74;55.3731818085162
691;57;64.92111738665737
692;61;61.64198085643247
693;59;63.71960567004073
694;74;55.226573469245764
695;55;63.53266795241559
696;68;59.31411042724106
697;55;65.96349729349535
698;64;58.85664600620183
699;59;62.65565179782831
700;65;59.63832360167282
701;54;64.97230480207404
702;68;59.85023966434006
703;68;55.98833685820395
704;68;58.27365396102162
705;48;66.18218988035929
706;56;65.24060680833735
707;66;57.69263036343623
708;66;60.6234620371267
709;71;58.586149699482924
710;56;64.43350625626442
711;69;59.92203676289891
712;63;60.11115316501297
713;67;60.128255074804166
714;65;58.12677353940556
715;63;60.89714747569765
716;67;57.52863948320951
717;64;61.63361890902264
718;71;56.74523745238598
719;64;63.6772851996684
720;63;59.59670800223328
721;71;55.87784042004347
722;68;57.63652343822331
723;62;58.966533851281525
724;58;63.171138272848616
725;65;57.41668339558572
726;65;60.401635967482015
727;67;60.00698111772783
728;62;60.47842550048762
729;66;57.67793892494557
730;70;58.88550535285949
731;64;59.945028748761125
732;70;54.945055028009975
733;61;61.74081805051543
734;67;60.88201399945859
735;67;56.989046855608
736;71;55.15480664675286
737;62;60.815119620736645
738;65;60.72988954762207
739;59;63.82995876164896
740;65;57.825041239476334
741;62;59.045283835937724
742;56;62.957558731453965
743;62;61.262276492879444
744;63;57.48375041598241
745;73;52.84283668947335
746;69;55.492954157389974
747;62;62.300023192853786
748;71;56.35047184860436
749;71;56.18933880456766
750;65;61.14121027155216
751;70;54.382589851230605
752;65;59.404991367427385
753;69;59.35136112183855
754;67;59.71908192254257
755;68;54.79742220182676
756;66;54.59835246503031
757;67;56.90233730446926
758;63;61.56358345667995
759;56;62.41845056273623
760;73;52.55887730439472
761;63;60.41175777177793
762;67;55.47652749162277
763;66;58.69400850187368
764;66;57.53520192755084
765;64;59.51988986013272
766;68;58.257631483575885
767;79;52.959913412266815
768;68;56.61020871685432
769;61;60.1429913253748
770;70;53.00454146283948
771;60;60.74178478332371
772;60;60.27558439203001
773;69;59.23778140112085
774;62;61.274175987130455
775;57;62.25850499605002
776;71;56.30864702806102
777;67;61.01823577331688
778;75;54.96742576902127
779;77;55.14138616428094
780;69;56.46309955685749
781;74;54.986117536623
782;71;57.04250291305984
783;74;52.615593370580456
784;68;55.10366593529605
785;71;52.10308644834986
786;73;56.76875740556356
787;62;59.28075358359423
788;78;53.57604116588941
789;66;60.278272689931356
790;70;54.82071630894319
791;68;57.47545415562067
792;74;52.577179773790064
793;62;58.5008560422108
794;73;54.408472803752176
795;66;57.32790557502829
796;62;58.67907934309325
797;72;54.36800754630822
798;76;52.10350585779797
799;65;56.06667394843275
800;67;58.610193044817954
801;79;51.95806233247302
802;74;57.22008361995389
803;70;56.228258016258515
804;70;56.11103449192657
805;71;52.51864687941637
806;59;62.817701473564
807;69;57.64104300596844
808;67;57.90201735660469
809;68;58.4353028698488
810;73;54.784454578011584
811;63;58.95771062450459
812;61;63.73219395018706
813;78;53.566851274697356
814;70;54.54304157610041
815;67;59.50455628047569
816;73;55.031525658448466
817;70;52.84838912520494
818;67;56.3233476859186
819;66;54.308787676023535
820;61;60.92747492530676
821;73;52.30466225367498
822;61;58.47287515571112
823;67;57.84179832050306
824;64;60.050528622921604
825;67;57.37317255552671
826;65;58.04446757603196
827;69;56.09002575366624
828;60;61.033840489212125
829;66;57.209208699746654
830;67;57.45516767369957
831;62;57.12377347416311
832;75;50.710672262779
833;66;57.05961597023
834;69;53.812099804631636
835;65;61.26933065223345
836;69;57.59897289502248
837;75;54.67757541829251
838;75;55.13906172487122
839;67;56.41064111055565
840;65;58.64287013900011
841;64;57.268498694630196
842;68;55.9287444359793
843;64;62.11101071600408
844;76;52.87417126168527
845;72;52.79794664925356
846;84;47.95666841087888
847;71;54.25871943407066
848;71;57.72362117401939
849;66;57.34178711268794
850;63;54.588690736778865
851;72;54.34286154979717
852;76;51.095832794332
853;64;60.05771934828617
854;70;56.70390129249518
855;63;60.52517996753209
856;66;59.597025556563004
857;74;54.06426352850674
858;74;56.46487463937435
859;77;55.32406666040762
860;67;59.24149163717352
861;59;59.854035814328256
862;73;51.887470022928106
863;65;61.72443581097903
864;70;56.114123568429115
865;71;56.30577158012113
866;66;58.291094203468
867;65;61.19031771666078
868;71;56.54807335991294
869;71;54.67190479519224
870;65;56.570171910827895
871;66;55.51352391896861
872;66;54.87981030080571
873;71;56.793704658460804
874;71;54.72011164583276
875;72;53.18802094508719
876;73;57.18537592515151
877;70;55.38859717093019
878;63;60.71826431705609
879;75;51.634168834475254
880;73;54.71050131286747
881;73;53.88628112931311
882;65;59.177755005751806
883;62;62.537493050558254
884;68;58.358300041608516
885;70;53.60148874173259
886;69;53.54171508329743
887;67;55.856197338339705
888;62;59.265831184389924
889;70;57.73307160146763
890;72;52.71954833315172
891;68;55.19683692691379
892;61;61.8302460738414
893;79;49.194886942897874
894;73;53.42873658071204
895;73;55.2330128871424
896;75;51.182206613920556
897;76;50.50607596081133
898;66;57.82788754803011
899;73;53.392884787789164
900;75;51.86861926661999
901;82;47.10374713187513
902;73;54.097178575533476
903;74;52.951873300062495
904;75;54.37918353702978
905;74;54.206934295890186
906;72;57.065491954439175
907;79;51.98911800491483
908;69;57.31853352283116
909;71;56.74596709300117
910;74;51.5241837325696
911;70;58.646829858161524
912;64;60.92285305455221
913;73;55.09271821506155
914;78;50.114867117938196
915;75;56.27892960792206
916;71;56.53341201705311
917;72;55.071055165652304
918;75;55.41211534204665
919;69;58.59175997394921
920;67;55.71633308382036
921;70;58.03661788368181
922;74;53.147548460738356
923;73;52.5482516257016
924;78;50.17672986522948
925;72;52.08115872565103
926;74;55.36492720963464
927;72;55.55535162246024
928;75;55.75459619060794
929;72;52.140188426178504
930;70;56.10168711110023
931;80;47.77972831616867
932;62;58.558145588143695
933;74;56.34696927474728
934;70;54.59074766948645
935;65;57.21914297079288
936;78;52.24638227579578
937;71;53.80051740732644
938;79;51.35651669577068
939;78;49.37168947334408
940;79;55.23326078738967
941;75;52.91079130218067
942;78;53.80913570843311
943;76;51.7414935321399
944;79;53.55479126168142
945;76;53.43232811544102
946;74;54.798576202460424
947;78;51.92531749809919
948;76;47.83914962468342
949;68;56.3387820038725
950;68;52.531945345129834
951;75;53.35498374790504
952;74;51.28984833603494
953;80;49.53693966788915
954;74;48.60058666305297
955;77;54.03261099733931
956;73;50.84063267272576
957;75;56.52114154051225
958;80;49.716861891836956
959;79;49.8987455382672
960;75;53.893395359720515
961;70;56.54071252468833
962;71;56.89775908080779
963;78;51.619603734546104
964;78;53.28076248076714
965;74;50.172544425129416
966;73;54.127471242985635
967;83;51.989991144413445
968;68;55.90097522162555
969;73;52.776480370973616
970;73;56.696821088629484
971;72;52.40569968013564
972;66;58.944728423912885
973;70;55.8654276705428
974;85;44.3344753915803
975;70;54.54676256403182
976;69;55.76232906013652
977;80;47.56473509198749
978;67;56.95815102777355
979;74;52.818974617098775
980;81;48.32935952171054
981;76;52.852728305842554
982;79;50.60716359002381
983;76;50.45099197959756
984;73;52.953374060191905
985;73;50.794806766933
986;67;54.88849768569711
987;73;51.83885348907122
988;75;49.42474224122732
989;73;53.843289958672635
990;70;52.872602766866315
991;66;54.849884325622526
992;67;58.36171727091344
993;69;53.317975928803996
994;71;52.22574098478787
995;76;49.9898923217969
996;73;50.761753248653314
997;70;51.767972990486854
998;77;52.1965502859508
999;74;54.307510303955105